나이,회사와의마찰,출장,일당,부서,거리,학력,전공,사번,만족도,성별,시급,참여프로젝트,근속연차,직급,직업만족도,결혼여부,월급,이직회수,성인여부,야근,업무평가,주변평가,근무기준시간,스톡옵션레벨,경력,전년도교육출장횟수,워라밸,현회사근속년수
40,Yes,1~29회,575,영업,22,2,상경계열,492,3,Male,68,2,2,영업직,3,Married,6380,2,Y,Yes,보통,1,80,2,8,6,3,6
31,No,1~29회,408,R&D,9,4,사회과학계열,493,3,Male,42,2,1,연구직,2,Single,2657,0,Y,Yes,보통,4,80,0,3,5,3,2
21,Yes,1~29회,156,영업,12,3,사회과학계열,494,3,Female,90,4,1,영업 담당자,2,Single,2716,1,Y,No,보통,4,80,0,1,0,3,1
29,No,1~29회,1283,R&D,23,3,사회과학계열,495,4,Male,54,3,1,연구직,4,Single,2201,9,Y,No,보통,4,80,0,6,4,3,3
35,No,1~29회,755,R&D,9,4,사회과학계열,496,3,Male,97,2,2,연구직 관리자,2,Single,6540,9,Y,No,보통,3,80,0,10,5,3,1
27,No,1~29회,1469,R&D,1,2,자연과학계열,497,4,Male,82,3,1,엔지니어,2,Divorced,3816,1,Y,No,보통,2,80,1,5,2,3,5
28,No,1~29회,304,영업,9,4,사회과학계열,498,2,Male,92,3,2,영업직,4,Single,5253,1,Y,No,보통,4,80,0,7,1,3,7
49,No,1~29회,1261,R&D,7,3,기타,499,2,Male,31,2,3,연구직 관리자,3,Single,10965,8,Y,No,좋다,3,80,0,26,2,3,5
51,No,1~29회,1178,영업,14,2,사회과학계열,500,3,Female,87,3,2,영업직,4,Married,4936,4,Y,No,보통,3,80,1,18,2,2,7
36,No,1~29회,329,R&D,2,3,사회과학계열,501,4,Female,96,3,1,연구직,3,Married,2543,4,Y,No,보통,2,80,1,6,3,3,2
34,Yes,0회,1362,영업,19,3,상경계열,502,1,Male,67,4,2,영업직,4,Single,5304,8,Y,Yes,보통,2,80,0,9,3,2,5
55,No,1~29회,1311,R&D,2,3,사회과학계열,505,3,Female,97,3,4,인사관리자,4,Single,16659,2,Y,Yes,보통,3,80,0,30,2,3,5
24,No,1~29회,1371,영업,10,4,상경계열,507,4,Female,77,3,2,영업직,3,Divorced,4260,1,Y,Yes,보통,4,80,1,5,2,4,5
30,No,1~29회,202,영업,2,1,공학계열,508,3,Male,72,3,1,영업 담당자,2,Married,2476,1,Y,No,보통,1,80,1,1,3,3,1
26,Yes,30회 이상,575,R&D,3,1,공학계열,510,3,Male,73,3,1,연구직,1,Single,3102,0,Y,No,좋다,3,80,0,7,2,3,6
22,No,1~29회,253,R&D,11,3,자연과학계열,511,1,Female,43,3,1,연구직,2,Married,2244,1,Y,No,보통,4,80,1,2,1,3,2
36,No,1~29회,164,영업,2,2,자연과학계열,513,2,Male,61,2,3,영업직,3,Married,7596,1,Y,No,보통,2,80,2,10,2,3,10
30,Yes,30회 이상,464,R&D,4,3,공학계열,514,3,Male,40,3,1,연구직,4,Single,2285,9,Y,Yes,좋다,3,80,0,3,4,3,1
37,No,1~29회,1107,R&D,14,3,사회과학계열,515,4,Female,95,3,1,엔지니어,1,Divorced,3034,1,Y,No,보통,3,80,1,18,2,2,18
40,No,1~29회,759,영업,2,2,상경계열,516,4,Female,46,3,2,영업직,2,Divorced,5715,7,Y,No,보통,3,80,2,8,5,3,5
42,No,1~29회,201,R&D,1,4,사회과학계열,517,2,Female,95,3,1,엔지니어,1,Divorced,2576,3,Y,No,보통,2,80,1,8,5,3,5
37,No,1~29회,1305,R&D,10,4,사회과학계열,518,3,Male,49,3,2,제조 책임자,2,Single,4197,2,Y,Yes,보통,4,80,0,18,2,2,1
43,No,1~29회,982,R&D,12,3,사회과학계열,520,1,Male,59,2,4,연구 관리자,2,Divorced,14336,1,Y,No,보통,3,80,1,25,3,3,25
40,No,1~29회,555,R&D,2,3,자연과학계열,521,2,Female,78,2,2,엔지니어,3,Married,3448,6,Y,No,좋다,2,80,1,20,3,3,1
54,No,1~29회,821,R&D,5,2,자연과학계열,522,1,Male,86,3,5,연구 관리자,1,Married,19406,4,Y,No,보통,3,80,1,24,4,2,4
34,No,0회,1381,영업,4,4,상경계열,523,3,Female,72,3,2,영업직,3,Married,6538,9,Y,No,보통,1,80,1,6,3,3,3
31,No,1~29회,480,R&D,7,2,자연과학계열,524,2,Female,31,3,2,제조 책임자,1,Married,4306,1,Y,No,보통,2,80,1,13,5,1,13
43,No,30회 이상,313,R&D,21,3,자연과학계열,525,4,Male,61,3,1,엔지니어,4,Married,2258,7,Y,No,좋다,1,80,1,8,1,3,3
43,No,1~29회,1473,R&D,8,4,기타,526,3,Female,74,3,2,연구직 관리자,3,Divorced,4522,4,Y,Yes,보통,4,80,0,8,3,3,5
25,No,1~29회,891,영업,4,2,사회과학계열,527,2,Female,99,2,2,영업직,4,Single,4487,1,Y,Yes,보통,2,80,0,5,3,3,5
37,No,0회,1063,R&D,25,5,자연과학계열,529,2,Female,72,3,2,연구직,3,Married,4449,3,Y,Yes,보통,1,80,2,15,2,3,13
31,No,1~29회,329,R&D,1,2,사회과학계열,530,4,Male,98,2,1,엔지니어,1,Married,2218,1,Y,No,보통,3,80,1,4,3,3,4
39,No,30회 이상,1218,R&D,1,1,사회과학계열,531,2,Male,52,3,5,인사관리자,3,Divorced,19197,1,Y,Yes,보통,3,80,1,21,3,3,21
56,No,30회 이상,906,영업,6,3,사회과학계열,532,3,Female,86,4,4,영업직,1,Married,13212,9,Y,No,보통,4,80,3,36,0,2,7
30,No,1~29회,1082,영업,12,3,공학계열,533,2,Female,83,3,2,영업직,3,Single,6577,0,Y,No,보통,2,80,0,6,6,3,5
41,No,1~29회,645,영업,1,3,상경계열,534,2,Male,49,4,3,영업직,1,Married,8392,1,Y,No,보통,3,80,1,10,2,3,10
28,No,1~29회,1300,R&D,17,2,자연과학계열,536,3,Male,79,3,2,엔지니어,1,Divorced,4558,1,Y,No,보통,4,80,1,10,2,3,10
25,Yes,1~29회,688,R&D,3,3,자연과학계열,538,1,Male,91,3,1,엔지니어,1,Married,4031,5,Y,No,보통,3,80,1,6,5,3,2
52,No,1~29회,319,R&D,3,3,자연과학계열,543,4,Male,39,2,3,제조 책임자,3,Married,7969,2,Y,Yes,보통,3,80,0,28,4,3,5
45,No,1~29회,192,R&D,10,2,사회과학계열,544,1,Male,69,3,1,연구직,4,Married,2654,3,Y,No,좋다,4,80,2,8,3,2,2
52,No,1~29회,1490,R&D,4,2,사회과학계열,546,4,Female,30,3,4,인사관리자,4,Married,16555,2,Y,No,보통,4,80,0,31,2,1,5
42,No,30회 이상,532,R&D,29,2,사회과학계열,547,1,Female,92,3,2,연구직,3,Divorced,4556,2,Y,No,보통,2,80,1,19,3,3,5
30,No,1~29회,317,R&D,2,3,사회과학계열,548,3,Female,43,1,2,제조 책임자,4,Single,6091,2,Y,No,좋다,3,80,0,11,2,3,5
60,No,1~29회,422,R&D,7,3,사회과학계열,549,1,Female,41,3,5,인사관리자,1,Married,19566,5,Y,No,보통,4,80,0,33,5,1,29
46,No,1~29회,1485,R&D,18,3,자연과학계열,550,3,Female,87,3,2,제조 책임자,3,Divorced,4810,2,Y,No,보통,3,80,1,19,5,2,10
42,No,30회 이상,1368,R&D,28,4,공학계열,551,4,Female,88,2,2,연구직 관리자,4,Married,4523,0,Y,No,보통,4,80,3,7,4,4,6
24,Yes,1~29회,1448,영업,1,1,공학계열,554,1,Female,62,3,1,영업 담당자,2,Single,3202,1,Y,Yes,보통,2,80,0,6,4,3,5
34,Yes,30회 이상,296,영업,6,2,상경계열,555,4,Female,33,1,1,영업 담당자,3,Divorced,2351,0,Y,No,보통,4,80,1,3,3,2,2
38,No,30회 이상,1490,R&D,2,2,사회과학계열,556,4,Male,42,3,1,엔지니어,4,Married,1702,1,Y,Yes,좋다,3,80,1,1,3,3,1
40,No,1~29회,1398,영업,2,4,사회과학계열,558,3,Female,79,3,5,인사관리자,3,Married,18041,0,Y,No,보통,4,80,0,21,2,3,20
26,No,1~29회,1349,R&D,23,3,사회과학계열,560,1,Female,90,3,1,연구직,4,Divorced,2886,1,Y,No,좋다,2,80,2,3,3,1,3
30,No,0회,1400,R&D,3,3,사회과학계열,562,3,Male,53,3,1,엔지니어,4,Married,2097,4,Y,No,보통,3,80,1,9,3,1,5
29,No,1~29회,986,R&D,3,4,자연과학계열,564,2,Male,93,2,3,연구 관리자,3,Married,11935,1,Y,No,보통,3,80,0,10,2,3,10
29,Yes,1~29회,408,R&D,25,5,공학계열,565,3,Female,71,2,1,연구직,2,Married,2546,5,Y,No,보통,2,80,0,6,2,4,2
19,Yes,1~29회,489,사무직,2,2,공학계열,566,1,Male,52,2,1,인사사원,4,Single,2564,1,Y,No,보통,3,80,0,1,3,4,1
30,No,0회,1398,영업,22,4,기타,567,3,Female,69,3,3,영업직,1,Married,8412,0,Y,No,보통,3,80,0,10,3,3,9
57,No,1~29회,210,영업,29,3,상경계열,568,1,Male,56,2,4,인사관리자,4,Divorced,14118,3,Y,No,보통,3,80,1,32,3,2,1
50,No,1~29회,1099,R&D,29,4,사회과학계열,569,2,Male,88,2,4,인사관리자,3,Married,17046,0,Y,No,보통,2,80,1,28,2,3,27
30,No,0회,1116,R&D,2,3,자연과학계열,571,3,Female,49,3,1,엔지니어,4,Single,2564,0,Y,No,보통,3,80,0,12,2,2,11
60,No,30회 이상,1499,영업,28,3,상경계열,573,3,Female,80,2,3,영업직,1,Married,10266,4,Y,No,보통,4,80,0,22,5,4,18
47,No,1~29회,983,R&D,2,2,자연과학계열,574,1,Female,65,3,2,제조 책임자,4,Divorced,5070,5,Y,No,보통,3,80,3,20,2,3,5
46,No,1~29회,1009,R&D,2,3,사회과학계열,575,1,Male,51,3,4,연구 관리자,3,Married,17861,6,Y,No,보통,3,80,0,26,2,1,3
35,No,1~29회,144,R&D,22,3,사회과학계열,577,4,Male,46,1,1,엔지니어,3,Single,4230,0,Y,No,보통,3,80,0,6,2,3,5
54,No,1~29회,548,R&D,8,4,사회과학계열,578,3,Female,42,3,2,엔지니어,3,Single,3780,7,Y,No,보통,3,80,0,19,3,3,1
34,No,1~29회,1303,R&D,2,4,사회과학계열,579,4,Male,62,2,1,연구직,3,Divorced,2768,3,Y,No,보통,3,80,1,14,3,3,7
46,No,1~29회,1125,영업,10,3,상경계열,580,3,Female,94,2,3,영업직,4,Married,9071,2,Y,Yes,보통,3,80,1,15,3,3,3
31,No,1~29회,1274,R&D,9,1,사회과학계열,581,3,Male,33,3,3,제조 책임자,2,Divorced,10648,1,Y,No,좋다,4,80,1,13,6,4,13
33,Yes,1~29회,1277,R&D,15,1,자연과학계열,582,2,Male,56,3,3,인사관리자,3,Married,13610,7,Y,Yes,보통,4,80,0,15,2,4,7
33,Yes,1~29회,587,R&D,10,1,자연과학계열,584,1,Male,38,1,1,엔지니어,4,Divorced,3408,7,Y,No,보통,1,80,3,8,2,3,4
30,No,1~29회,413,영업,7,1,상경계열,585,4,Male,57,3,1,영업 담당자,2,Single,2983,0,Y,No,보통,1,80,0,4,3,3,3
35,No,1~29회,1276,R&D,16,3,사회과학계열,586,4,Male,72,3,3,연구직 관리자,3,Married,7632,4,Y,Yes,보통,3,80,0,10,2,3,8
31,Yes,30회 이상,534,R&D,20,3,사회과학계열,587,1,Male,66,3,3,연구직 관리자,3,Married,9824,3,Y,No,보통,1,80,0,12,2,3,1
34,Yes,30회 이상,988,사무직,23,3,인문학,590,2,Female,43,3,3,인사사원,1,Divorced,9950,9,Y,Yes,보통,3,80,3,11,2,3,3
42,No,30회 이상,1474,R&D,5,2,기타,591,2,Male,97,3,1,엔지니어,3,Married,2093,4,Y,No,보통,4,80,1,8,4,3,2
36,No,0회,635,영업,10,4,자연과학계열,592,2,Male,32,3,3,영업직,4,Single,9980,1,Y,No,보통,4,80,0,10,3,2,10
22,Yes,30회 이상,1368,R&D,4,1,공학계열,593,3,Male,99,2,1,엔지니어,3,Single,3894,5,Y,No,보통,3,80,0,4,3,3,2
48,No,1~29회,163,영업,2,5,상경계열,595,2,Female,37,3,2,영업직,4,Married,4051,2,Y,No,보통,1,80,1,14,2,3,9
55,No,1~29회,1117,영업,18,5,사회과학계열,597,1,Female,83,3,4,인사관리자,2,Single,16835,3,Y,No,좋다,4,80,0,37,2,3,10
41,No,0회,267,영업,10,2,사회과학계열,599,4,Male,56,3,2,영업직,4,Single,6230,7,Y,No,보통,4,80,0,16,3,3,14
35,No,1~29회,619,영업,1,3,상경계열,600,2,Male,85,3,2,영업직,3,Married,4717,9,Y,No,보통,3,80,0,15,2,3,11
40,No,1~29회,302,R&D,6,3,사회과학계열,601,2,Female,75,3,4,제조 책임자,3,Single,13237,7,Y,No,보통,3,80,0,22,3,3,20
39,No,30회 이상,443,R&D,8,1,사회과학계열,602,3,Female,48,3,1,엔지니어,3,Married,3755,1,Y,No,보통,1,80,1,8,3,3,8
31,No,1~29회,828,영업,2,1,사회과학계열,604,2,Male,77,3,2,영업직,4,Single,6582,4,Y,Yes,보통,3,80,0,10,2,4,6
42,No,1~29회,319,R&D,24,3,자연과학계열,605,4,Male,56,3,3,제조 책임자,1,Married,7406,1,Y,Yes,좋다,4,80,1,10,5,2,10
45,No,1~29회,561,영업,2,3,기타,606,4,Male,61,3,2,영업직,2,Married,4805,0,Y,No,보통,2,80,1,9,3,4,8
26,Yes,30회 이상,426,사무직,17,4,사회과학계열,608,2,Female,58,3,1,인사사원,3,Divorced,2741,0,Y,Yes,보통,2,80,1,8,2,2,7
29,No,1~29회,232,R&D,19,3,공학계열,611,4,Male,34,3,2,제조 책임자,4,Divorced,4262,4,Y,No,보통,2,80,2,8,2,4,3
33,No,1~29회,922,R&D,1,5,자연과학계열,612,1,Female,95,4,4,연구 관리자,3,Divorced,16184,4,Y,No,보통,3,80,1,10,2,3,6
31,No,1~29회,688,영업,7,3,사회과학계열,613,3,Male,44,2,3,인사관리자,4,Divorced,11557,9,Y,No,좋다,3,80,1,10,3,2,5
18,Yes,30회 이상,1306,영업,5,3,상경계열,614,2,Male,69,3,1,영업 담당자,2,Single,1878,1,Y,Yes,보통,4,80,0,0,3,3,0
40,No,0회,1094,영업,28,3,기타,615,3,Male,58,1,3,영업직,1,Divorced,10932,3,Y,No,보통,3,80,1,20,2,3,1
41,No,0회,509,R&D,2,4,기타,616,1,Female,62,2,2,연구직 관리자,3,Single,6811,2,Y,Yes,보통,1,80,0,10,3,3,8
26,No,1~29회,775,영업,29,2,자연과학계열,618,1,Male,45,3,2,영업직,3,Divorced,4306,5,Y,No,보통,1,80,2,8,5,3,0
35,No,1~29회,195,영업,1,3,자연과학계열,620,1,Female,80,3,2,영업직,3,Single,4859,1,Y,No,보통,4,80,0,5,3,3,5
34,No,1~29회,258,영업,21,4,사회과학계열,621,4,Male,74,4,2,영업직,4,Single,5337,1,Y,No,보통,4,80,0,10,3,3,10
26,Yes,1~29회,471,R&D,24,3,공학계열,622,3,Male,66,1,1,엔지니어,4,Single,2340,1,Y,Yes,보통,2,80,0,1,3,1,1
37,No,1~29회,799,R&D,1,3,공학계열,623,2,Female,59,3,3,제조 책임자,4,Single,7491,4,Y,No,보통,4,80,0,12,3,4,6
46,No,30회 이상,1034,R&D,18,1,자연과학계열,624,1,Female,86,3,3,연구직 관리자,3,Married,10527,5,Y,No,보통,4,80,0,28,3,2,2
41,No,1~29회,1276,영업,2,5,사회과학계열,625,2,Female,91,3,4,인사관리자,1,Married,16595,7,Y,No,보통,2,80,1,22,2,3,18
37,No,0회,142,영업,9,4,자연과학계열,626,1,Male,69,3,3,영업직,2,Divorced,8834,1,Y,No,보통,4,80,1,9,6,3,9
52,No,1~29회,956,R&D,6,2,공학계열,630,4,Male,78,3,2,연구직,1,Divorced,5577,3,Y,Yes,보통,2,80,2,18,3,3,10
32,Yes,0회,1474,영업,11,4,기타,631,4,Male,60,4,2,영업직,3,Married,4707,8,Y,No,보통,4,80,0,6,2,3,4
24,No,30회 이상,535,영업,24,3,자연과학계열,632,4,Male,38,3,1,영업 담당자,4,Married,2400,0,Y,No,보통,3,80,2,3,3,3,2
38,No,1~29회,1495,R&D,10,3,자연과학계열,634,3,Female,76,3,2,연구직 관리자,3,Married,9824,3,Y,No,보통,3,80,1,18,4,3,1
37,No,1~29회,446,R&D,1,4,사회과학계열,635,2,Female,65,3,2,제조 책임자,2,Married,6447,6,Y,No,보통,2,80,1,8,2,2,6
49,No,1~29회,1245,R&D,18,4,사회과학계열,638,4,Male,58,2,5,연구 관리자,3,Divorced,19502,1,Y,Yes,보통,3,80,1,31,5,3,31
24,No,1~29회,691,R&D,23,3,자연과학계열,639,2,Male,89,4,1,연구직,4,Married,2725,1,Y,Yes,보통,2,80,2,6,3,3,6
26,No,1~29회,703,영업,28,2,상경계열,641,1,Male,66,3,2,영업직,2,Married,6272,1,Y,No,좋다,4,80,2,6,5,4,5
24,No,1~29회,823,R&D,17,2,기타,643,4,Male,94,2,1,엔지니어,2,Married,2127,1,Y,No,좋다,4,80,1,1,2,3,1
50,No,30회 이상,1246,사무직,3,3,자연과학계열,644,1,Male,99,3,5,인사관리자,2,Married,18200,1,Y,No,보통,3,80,1,32,2,3,32
25,No,1~29회,622,영업,13,1,자연과학계열,645,2,Male,40,3,1,영업 담당자,3,Married,2096,1,Y,No,보통,3,80,0,7,1,3,7
24,Yes,30회 이상,1287,R&D,7,3,사회과학계열,647,1,Female,55,3,1,엔지니어,3,Married,2886,1,Y,Yes,보통,4,80,1,6,4,3,6
30,Yes,30회 이상,448,영업,12,4,사회과학계열,648,2,Male,74,2,1,영업 담당자,1,Married,2033,1,Y,No,보통,3,80,1,1,2,4,1
34,No,1~29회,254,R&D,1,2,사회과학계열,649,2,Male,83,2,1,연구직,4,Married,3622,1,Y,Yes,보통,4,80,1,6,3,3,6
31,Yes,1~29회,1365,영업,13,4,자연과학계열,650,2,Male,46,3,2,영업직,1,Divorced,4233,2,Y,No,보통,3,80,0,9,2,1,3
35,No,1~29회,538,R&D,25,2,기타,652,1,Male,54,2,2,엔지니어,4,Single,3681,4,Y,No,보통,4,80,0,9,3,3,3
31,No,1~29회,525,영업,6,4,자연과학계열,653,1,Male,66,4,2,영업직,4,Divorced,5460,4,Y,No,좋다,4,80,2,13,4,4,7
27,No,1~29회,798,R&D,6,4,자연과학계열,655,1,Female,66,2,1,연구직,3,Divorced,2187,0,Y,No,보통,3,80,2,6,5,2,5
37,No,1~29회,558,영업,2,3,상경계열,656,4,Male,75,3,2,영업직,3,Married,9602,4,Y,Yes,보통,3,80,1,17,3,2,3
20,No,1~29회,959,R&D,1,3,사회과학계열,657,4,Female,83,2,1,연구직,2,Single,2836,1,Y,No,보통,4,80,0,1,0,4,1
42,No,1~29회,622,R&D,2,4,사회과학계열,659,3,Female,81,3,2,연구직 관리자,4,Married,4089,1,Y,No,보통,2,80,2,10,4,3,10
43,No,1~29회,782,R&D,6,4,기타,661,2,Male,50,2,4,연구 관리자,4,Divorced,16627,4,Y,Yes,보통,3,80,1,21,3,2,1
38,No,1~29회,362,R&D,1,1,사회과학계열,662,3,Female,43,3,1,연구직,1,Single,2619,3,Y,No,보통,4,80,0,8,3,2,0
43,No,30회 이상,1001,R&D,9,5,자연과학계열,663,4,Male,72,3,2,엔지니어,3,Divorced,5679,3,Y,Yes,보통,2,80,1,10,3,3,8
48,No,1~29회,1236,R&D,1,4,사회과학계열,664,4,Female,40,2,4,인사관리자,1,Married,15402,7,Y,No,보통,1,80,1,21,3,1,3
44,No,1~29회,1112,사무직,1,4,사회과학계열,665,1,Female,50,2,2,인사사원,3,Single,5985,4,Y,No,보통,2,80,0,10,1,4,2
34,No,1~29회,204,영업,14,3,공학계열,666,3,Female,31,3,1,영업 담당자,3,Divorced,2579,1,Y,Yes,보통,4,80,2,8,3,3,8
27,Yes,1~29회,1420,영업,2,1,상경계열,667,3,Male,85,3,1,영업 담당자,1,Divorced,3041,0,Y,No,보통,2,80,1,5,3,3,4
21,No,1~29회,1343,영업,22,1,공학계열,669,3,Male,49,3,1,영업 담당자,3,Single,3447,1,Y,No,보통,3,80,0,3,2,3,3
44,No,1~29회,1315,R&D,3,4,기타,671,4,Male,35,3,5,인사관리자,4,Married,19513,4,Y,Yes,보통,1,80,1,26,2,4,2
22,No,1~29회,604,R&D,6,1,자연과학계열,675,1,Male,69,3,1,연구직,3,Married,2773,0,Y,No,좋다,4,80,0,3,3,3,2
33,No,1~29회,1216,영업,8,4,상경계열,677,3,Male,39,3,2,영업직,3,Divorced,7104,0,Y,No,보통,4,80,0,6,3,3,5
32,No,1~29회,646,R&D,9,4,사회과학계열,679,1,Female,92,3,2,연구직,4,Married,6322,1,Y,Yes,보통,4,80,1,6,2,2,6
30,No,30회 이상,160,R&D,3,3,자연과학계열,680,3,Female,71,3,1,연구직,3,Divorced,2083,1,Y,No,좋다,3,80,1,1,2,3,1
53,No,1~29회,238,영업,1,1,자연과학계열,682,4,Female,34,3,2,영업직,1,Single,8381,7,Y,No,좋다,4,80,0,18,2,4,14
34,No,1~29회,1397,R&D,1,5,사회과학계열,683,2,Male,42,3,1,연구직,4,Married,2691,1,Y,No,보통,4,80,1,10,4,2,10
45,Yes,30회 이상,306,영업,26,4,사회과학계열,684,1,Female,100,3,2,영업직,1,Married,4286,2,Y,No,보통,4,80,2,5,4,3,1
26,No,1~29회,991,R&D,6,3,사회과학계열,686,3,Female,71,3,1,엔지니어,4,Married,2659,1,Y,Yes,보통,3,80,1,3,2,3,3
37,No,1~29회,482,R&D,3,3,기타,689,3,Male,36,3,3,제조 책임자,3,Married,9434,1,Y,No,보통,3,80,1,10,2,3,10
29,No,1~29회,1176,영업,3,2,자연과학계열,690,2,Female,62,3,2,영업직,3,Married,5561,1,Y,No,보통,1,80,1,6,5,2,6
35,No,1~29회,1017,R&D,6,4,사회과학계열,691,2,Male,82,1,2,연구직,4,Single,6646,1,Y,No,보통,2,80,0,17,3,3,17
33,No,30회 이상,1296,R&D,6,3,사회과학계열,692,3,Male,30,3,2,연구직 관리자,4,Divorced,7725,3,Y,No,좋다,3,80,1,15,2,1,13
54,No,1~29회,397,사무직,19,4,자연과학계열,698,3,Male,88,3,3,인사사원,2,Married,10725,2,Y,No,보통,3,80,1,16,1,4,9
36,No,1~29회,913,R&D,9,2,자연과학계열,699,2,Male,48,2,2,제조 책임자,2,Divorced,8847,2,Y,Yes,보통,3,80,1,13,2,3,3
27,No,1~29회,1115,R&D,3,4,자연과학계열,700,1,Male,54,2,1,연구직,4,Single,2045,0,Y,No,보통,4,80,0,5,0,3,4
20,Yes,1~29회,1362,R&D,10,1,자연과학계열,701,4,Male,32,3,1,연구직,3,Single,1009,1,Y,Yes,보통,4,80,0,1,5,3,1
33,Yes,30회 이상,1076,R&D,3,3,사회과학계열,702,1,Male,70,3,1,연구직,1,Single,3348,1,Y,Yes,보통,1,80,0,10,3,3,10
35,No,0회,727,R&D,3,3,사회과학계열,704,3,Male,41,2,1,엔지니어,3,Married,1281,1,Y,No,보통,3,80,2,1,3,3,1
23,No,1~29회,885,R&D,4,3,자연과학계열,705,1,Male,58,4,1,연구직,1,Married,2819,2,Y,No,보통,1,80,1,5,3,4,3
25,No,1~29회,810,영업,8,3,사회과학계열,707,4,Male,57,4,2,영업직,2,Married,4851,0,Y,No,좋다,3,80,1,4,4,3,3
38,No,1~29회,243,영업,7,4,상경계열,709,4,Female,46,2,2,영업직,4,Single,4028,0,Y,No,좋다,1,80,0,8,2,3,7
29,No,30회 이상,806,R&D,1,4,사회과학계열,710,2,Male,76,1,1,연구직,4,Divorced,2720,1,Y,No,보통,4,80,1,10,5,3,10
48,No,1~29회,817,영업,2,1,상경계열,712,2,Male,56,4,2,영업직,2,Married,8120,3,Y,No,보통,4,80,0,12,3,3,2
27,No,30회 이상,1410,영업,3,1,자연과학계열,714,4,Female,71,4,2,영업직,4,Divorced,4647,1,Y,Yes,좋다,2,80,2,6,3,3,6
37,No,1~29회,1225,R&D,10,2,사회과학계열,715,4,Male,80,4,1,연구직,4,Single,4680,3,Y,No,보통,1,80,0,4,2,3,1
50,No,1~29회,1207,R&D,28,1,자연과학계열,716,4,Male,74,4,1,엔지니어,3,Married,3221,1,Y,Yes,보통,3,80,3,20,3,3,20
34,No,1~29회,1442,R&D,9,3,자연과학계열,717,4,Female,46,2,3,연구직 관리자,2,Single,8621,1,Y,No,보통,2,80,0,9,3,4,8
24,Yes,1~29회,693,영업,3,2,사회과학계열,720,1,Female,65,3,2,영업직,3,Single,4577,9,Y,No,보통,1,80,0,4,3,3,2
39,No,1~29회,408,R&D,2,4,공학계열,721,4,Female,80,2,2,연구직 관리자,3,Single,4553,1,Y,No,보통,1,80,0,20,4,3,20
32,No,1~29회,929,영업,10,3,상경계열,722,4,Male,55,3,2,영업직,4,Single,5396,1,Y,No,보통,4,80,0,10,2,2,10
50,Yes,30회 이상,562,영업,8,2,공학계열,723,2,Male,50,3,2,영업직,3,Married,6796,3,Y,Yes,보통,1,80,1,18,4,3,4
38,No,1~29회,827,R&D,1,4,사회과학계열,724,2,Female,33,4,2,연구직 관리자,4,Single,7625,0,Y,No,보통,3,80,0,10,4,2,9
27,No,1~29회,608,R&D,1,2,사회과학계열,725,3,Female,68,3,3,제조 책임자,1,Married,7412,1,Y,No,보통,4,80,0,9,3,3,9
32,No,1~29회,1018,R&D,3,2,사회과학계열,727,3,Female,39,3,3,연구 관리자,4,Single,11159,3,Y,No,보통,4,80,0,10,6,3,7
47,No,1~29회,703,영업,14,4,상경계열,728,4,Male,42,3,2,영업직,1,Single,4960,2,Y,No,보통,4,80,0,20,2,3,7
40,No,30회 이상,580,영업,5,4,사회과학계열,729,4,Male,48,2,3,영업직,1,Married,10475,5,Y,Yes,좋다,3,80,1,20,2,3,18
53,No,1~29회,970,R&D,7,3,사회과학계열,730,3,Male,59,4,4,연구 관리자,3,Married,14814,3,Y,No,보통,3,80,0,32,3,3,5
41,No,1~29회,427,사무직,10,4,인문학,731,2,Male,73,2,5,인사관리자,4,Divorced,19141,3,Y,No,보통,2,80,3,23,2,2,21
60,No,1~29회,1179,영업,16,4,상경계열,732,1,Male,84,3,2,영업직,1,Single,5405,8,Y,No,보통,4,80,0,10,1,3,2
27,No,30회 이상,294,R&D,10,2,사회과학계열,733,4,Male,32,3,3,제조 책임자,1,Divorced,8793,1,Y,No,좋다,3,80,2,9,4,2,9
41,No,1~29회,314,사무직,1,3,인문학,734,4,Male,59,2,5,인사관리자,3,Married,19189,1,Y,No,보통,2,80,1,22,3,3,22
50,No,1~29회,316,영업,8,4,상경계열,738,4,Male,54,3,1,영업 담당자,2,Married,3875,7,Y,No,보통,4,80,1,4,2,3,2
28,Yes,1~29회,654,R&D,1,2,사회과학계열,741,1,Female,67,1,1,연구직,2,Single,2216,7,Y,Yes,보통,4,80,0,10,4,3,7
36,No,0회,427,R&D,8,3,사회과학계열,742,1,Female,63,4,3,연구 관리자,1,Married,11713,9,Y,No,보통,1,80,1,10,2,3,8
38,No,1~29회,168,R&D,1,3,사회과학계열,743,3,Female,81,3,3,제조 책임자,3,Single,7861,4,Y,Yes,보통,4,80,0,10,4,4,1
44,No,0회,381,R&D,24,3,자연과학계열,744,1,Male,49,1,1,엔지니어,3,Single,3708,2,Y,No,보통,3,80,0,9,5,3,5
47,No,30회 이상,217,영업,3,3,자연과학계열,746,4,Female,49,3,4,영업직,3,Divorced,13770,9,Y,Yes,보통,4,80,2,28,2,2,22
30,No,1~29회,501,영업,27,5,상경계열,747,3,Male,99,3,2,영업직,4,Divorced,5304,7,Y,No,좋다,4,80,1,10,2,2,8
29,No,1~29회,1396,영업,10,3,사회과학계열,749,3,Male,99,3,1,영업 담당자,3,Single,2642,1,Y,No,보통,3,80,0,1,6,3,1
